location_id,location_name,country,hotel_name,hotel_code,property_type,hotel_type,address,map_link,description,status,image_url_1,image_url_2,image_url_3,image_url_4,remarks
308,Ayodhya,India,The Ramayana Heritage Hotel & Resort,AYO01,INTERNAL_PROPERTY,RESORT,"Near Ram Janmabhoomi Complex, Ayodhya, Uttar Pradesh - 224123",https://maps.google.com/?q=Ram+Janmabhoomi+Ayodhya,"Serene spiritual resort offering luxurious rooms, sattvik dining, and close proximity to sacred sites in Ayodhya.",ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,Premier spiritual getaway property
331,Banaras,India,Banyan Tree Ganges View Resort,BAN01,ASSOCIATED_PROPERTY,HOTEL,"Dashashwamedh Ghat Road, Varanasi, Uttar Pradesh - 221001",https://maps.google.com/?q=Dashashwamedh+Ghat+Varanasi,Heritage riverside hotel offering panoramic views of Ganga Aarti and authentic Banarasi hospitality.,ACTIVE,https://images.unsplash.com/photo-1571536802807-30451e3955d8?auto=format&fit=crop&w=1000&q=80,,,,Ganges view luxury heritage stay
322,Bandipur,India,Bandipur Wilderness Safari Lodge,BAN02,INTERNAL_PROPERTY,RESORT,"Bandipur Tiger Reserve Boundary Road, Chamarajanagar, Karnataka - 571126",https://maps.google.com/?q=Bandipur+National+Park,Eco-friendly wilderness lodge surrounded by lush green forests and safari trails.,ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Wildlife & nature retreat
313,Bhuj,India,Kutch White Rann Desert Resort,BHU01,INTERNAL_PROPERTY,RESORT,"Dhordo Village Road, Near White Rann, Bhuj, Kutch, Gujarat - 370001",https://maps.google.com/?q=White+Rann+of+Kutch+Bhuj,Traditional Bhunga-style luxury tents and cottages offering authentic Kutchi folk experiences and full moon desert views.,ACTIVE,https://images.unsplash.com/photo-1512343879784-a960bf40e7f2?auto=format&fit=crop&w=1000&q=80,,,,Rann Utsav partner property
327,Bikaner,India,Lallgarh Royal Haveli & Resort,BIK01,ASSOCIATED_PROPERTY,HOTEL,"Samode Haveli Road, Bikaner, Rajasthan - 334001",https://maps.google.com/?q=Junagarh+Fort+Bikaner,"Red sandstone palace resort with courtyards, Rajasthani cultural performances, and royal dining.",ACTIVE,https://images.unsplash.com/photo-1722577359807-96d328b8b303?auto=format&fit=crop&w=1000&q=80,,,,Royal heritage property
314,Coimbatore,India,The Marudhamalai Hills Resort & Spa,COI01,INTERNAL_PROPERTY,RESORT,"Marudhamalai Main Road, Vadavalli, Coimbatore, Tamil Nadu - 641041",https://maps.google.com/?q=Marudhamalai+Coimbatore,"Tranquil hill-view resort surrounded by Western Ghats greenery, featuring wellness spa and infinity pool.",ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Wellness & hill view resort
310,Coorg,India,Coorg Coffee Estate Villa & Spa,COO01,INTERNAL_PROPERTY,VILLA,"Madikeri Plantation Road, Coorg, Karnataka - 571201",https://maps.google.com/?q=Madikeri+Coorg,Luxury villas nestled inside a private 50-acre coffee plantation with private plunge pools and nature trails.,ACTIVE,https://images.unsplash.com/photo-1685271567656-84a60da957d9?auto=format&fit=crop&w=1000&q=80,,,,Private coffee estate stay
323,Dalhousie,India,Dalhousie Pine Valley Resort,DAL01,ASSOCIATED_PROPERTY,RESORT,"Mall Road, Near Subhash Chowk, Dalhousie, Himachal Pradesh - 176304",https://maps.google.com/?q=Subhash+Chowk+Dalhousie,Colonial-style hill resort offering breathtaking view of snow-capped Pir Panjal mountain ranges.,ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Pine forest mountain retreat
247,Georgia,Georgia,Tbilisi Old Town Grand Hotel,GEO01,ASSOCIATED_PROPERTY,HOTEL,"Rustaveli Avenue, Old Tbilisi, Georgia - 0105",https://maps.google.com/?q=Rustaveli+Avenue+Tbilisi,Boutique European hotel overlooking Narikala Fortress and historic sulphur baths.,ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,International European stay
244,Indonesia,Indonesia,Bali Lagoon Beach Resort & Spa,IND01,ASSOCIATED_PROPERTY,RESORT,"Nusa Dua Beach Front, Bali, Indonesia - 80363",https://maps.google.com/?q=Nusa+Dua+Bali,"Tropical oceanfront resort in Bali featuring private beach access, overwater villas, and Balinese spa treatments.",ACTIVE,https://images.unsplash.com/photo-1512100356356-de1b84283e18?auto=format&fit=crop&w=1000&q=80,,,,Beachfront tropical luxury
309,Jammu and Kashmir,India,Kashmir Valley Floating Resort & Spa,JMK01,INTERNAL_PROPERTY,RESORT,"Dal Lake Boulevard, Srinagar, Jammu and Kashmir - 190001",https://maps.google.com/?q=Dal+Lake+Srinagar,Luxury carved cedarwood houseboat and lakefront resort overlooking Zabarwan mountain range.,ACTIVE,https://images.unsplash.com/photo-1582719508461-905c673771fd?auto=format&fit=crop&w=1000&q=80,,,,Dal Lake houseboat experience
317,Kandaghat,India,Kandaghat Mountain View Resort,KAN01,INTERNAL_PROPERTY,RESORT,"Shimla-Kalka Highway, Kandaghat, Solan, Himachal Pradesh - 173215",https://maps.google.com/?q=Kandaghat+Himachal,"Quiet mountain-view resort surrounded by pine trees, offering trekking trails and bonfire evenings.",ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Quiet hill retreat
321,Kanha National Park,India,Kanha Tiger Reserve Jungle Lodge,KNH01,INTERNAL_PROPERTY,HOMESTAY,"Khatia Gate, Kanha National Park, Mandla, Madhya Pradesh - 481768",https://maps.google.com/?q=Kanha+National+Park,Luxury safari cottages located near core forest gate with expert wildlife naturalists.,ACTIVE,https://images.unsplash.com/photo-1540555700478-4be289fbecef?auto=format&fit=crop&w=1000&q=80,,,,Tiger safari jungle lodge
306,Kasauli,India,Kasauli Pine Ridge Resort & Spa,KAS01,INTERNAL_PROPERTY,RESORT,"Upper Mall Road, Kasauli, Solan, Himachal Pradesh - 173204",https://maps.google.com/?q=Upper+Mall+Kasauli,"Charming Victorian-style hill resort with pine valley balconies, heated pool, and tea lounges.",ACTIVE,https://images.unsplash.com/photo-1566073771259-6a8506099945?auto=format&fit=crop&w=1000&q=80,,,,Colonial hill station resort
