location_id,location_name,country,hotel_name,hotel_code,property_type,hotel_type,address,map_link,description,status,image_url_1,image_url_2,image_url_3,image_url_4,remarks
308,Ayodhya,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
331,Banaras,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
322,Bandipur,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
313,Bhuj,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
327,Bikaner,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
314,Coimbatore,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
310,Coorg,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
323,Dalhousie,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
247,Georgia,Georgia,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
244,Indonesia,Indonesia,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
309,Jammu and Kashmir,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
317,Kandaghat,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
321,Kanha National Park,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
306,Kasauli,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
301,Khandala,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
254,Kosi,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
316,Kufri,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
257,Kumarakom,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
324,Lansdowne,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
298,Lonavla,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
302,Mahabaleshwar,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
303,Moga,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
297,Mohali,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
305,Panchgani,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
299,Panchkula,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
318,Parwanoo,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
315,Thrissur,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
246,United States of America,United States,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
320,Varanasi,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
307,Vrindavan,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
300,Zirakpur,India,,,INTERNAL_PROPERTY,HOTEL,,,,ACTIVE,,,,,
